split,model,dimension,segment,sample_count,mean_actual,mean_predicted,mean_residual,mae
oof,HistGradientBoosting,gw,38,1082,2.2264325323475047,2.2170062061430524,0.009426326204452029,1.8946021177772594
oof,HistGradientBoosting,season_stage,GW1-5,3478,2.4853364002300173,2.395571142240625,0.08976525798939224,1.9274006389672262
oof,HistGradientBoosting,season_stage,GW6-10,5399,2.205408408964623,2.240407321035318,-0.034998912070695255,1.799847895877338
oof,HistGradientBoosting,season_stage,GW11+,30140,2.2396483078964833,2.1767472112539683,0.06290109664251499,1.8399159928035977
oof,Random Forest,position,DEF,13899,1.9897114900352544,1.8883353344077856,0.10137615562746895,1.8338718849281916
oof,Random Forest,position,FWD,4297,2.6797765883174307,2.581470936321633,0.09830565199579784,2.1380780207508048
oof,Random Forest,position,GK,2805,2.492691622103387,2.5296758521308487,-0.036984230027461526,1.8505267955507412
oof,Random Forest,position,MID,18016,2.325266429840142,2.2768296841059503,0.04843674573419198,1.753785978236847
oof,Random Forest,price_band,budget,22915,1.8632773292603098,1.8328831711320828,0.030394158128226993,1.581540574273614
oof,Random Forest,price_band,mid,14287,2.6420522153006227,2.537037807988917,0.10501440731170619,2.061009201882441
oof,Random Forest,price_band,premium,1447,3.9322736696613685,3.708573721317062,0.22369994834430632,3.0210745731336526
oof,Random Forest,price_band,elite,368,5.217391304347826,5.000474392425467,0.21691691192235946,3.8182249867372637
oof,Random Forest,minutes_history_band,low,6620,1.280513595166163,1.2542221399554219,0.02629145521074129,1.224744418160738
oof,Random Forest,minutes_history_band,rotation,13824,1.8328993055555556,1.8059775109486427,0.026921794606912856,1.612355459264988
oof,Random Forest,minutes_history_band,regular,17984,2.922875889679715,2.8085469385202497,0.11432895115946559,2.215574136218119
oof,Random Forest,minutes_history_band,ever_present,589,2.8421052631578947,2.845443056333773,-0.0033377931758785473,2.0735946457862084
oof,Random Forest,home_away,away,18886,2.1668961135232445,2.129108803265032,0.037787310258212664,1.7847072493639617
oof,Random Forest,home_away,home,18975,2.3839262187088273,2.28796290506999,0.09596331363883744,1.9216413900221532
oof,Random Forest,home_away,mixed_or_blank,1156,1.6392733564013842,1.5823640123021083,0.056909344099275665,1.119477458529292
oof,Random Forest,fixture_band,easy,12084,2.6502813637868257,2.4122236212153045,0.23805774257152082,2.095388313801267
oof,Random Forest,fixture_band,medium,16499,2.328504757864113,2.2638394664122554,0.0646652914518576,1.8877934567555301
oof,Random Forest,fixture_band,hard,9688,1.8177126341866225,1.9494467512036018,-0.13173411701697876,1.540962607618533
oof,Random Forest,fixture_band,nan,746,0.0,0.08983922201830875,-0.08983922201830875,0.08983922201830875
oof,Random Forest,prediction_band,<2,16651,1.1480992132604648,1.121101366952011,0.026997846308453775,1.171931037285337
oof,Random Forest,prediction_band,2-4,20316,2.885312069304981,2.794599964018003,0.09071210528697841,2.2065381288037464
oof,Random Forest,prediction_band,4-6,1813,4.723662437948152,4.6030997081240494,0.12056272982410232,3.3763675031532414
oof,Random Forest,prediction_band,6-8,196,7.295918367346939,6.681033805065472,0.6148845622814668,4.097608456576252
oof,Random Forest,prediction_band,8+,41,7.926829268292683,8.687893991665236,-0.761064723372554,4.802550290174745
oof,Random Forest,gw,2,688,2.872093023255814,2.622350316930677,0.24974270632513676,2.1255827735966264
oof,Random Forest,gw,3,827,2.5755743651753327,2.3890385710689563,0.18653579410637608,1.9073648587016554
oof,Random Forest,gw,4,939,2.445154419595314,2.345401677104624,0.09975274249069029,1.9592264218013673
oof,Random Forest,gw,5,1024,2.189453125,2.218549059268364,-0.029095934268364196,1.7389845466873268
oof,Random Forest,gw,6,1083,2.148661126500462,2.2018337424369108,-0.053172615936449376,1.8321903274507216
oof,Random Forest,gw,7,1078,2.292207792207792,2.236502710669579,0.0557050815382132,1.7854983023355904
oof,Random Forest,gw,8,1082,2.210720887245841,2.2056951397426987,0.005025747503142947,1.8372348770491564
oof,Random Forest,gw,9,1077,2.188486536675952,2.211720821828426,-0.023234285152474013,1.7450241706356318
oof,Random Forest,gw,10,1079,2.1872103799814644,2.197011373735818,-0.009800993754353568,1.7479146766481233
oof,Random Forest,gw,11,1073,2.29170549860205,2.1961216744101866,0.09558382419186384,1.8706517795914288
oof,Random Forest,gw,12,1068,2.24438202247191,2.2078709857519976,0.03651103671991267,1.8951741707223642
oof,Random Forest,gw,13,1065,2.1868544600938966,2.211370580229411,-0.0245161201355139,1.8876585551418343
oof,Random Forest,gw,14,1066,2.3330206378986866,2.186922274521785,0.14609836337690194,1.9571935631188353
oof,Random Forest,gw,15,1083,2.240073868882733,2.11232261164297,0.12775125723976336,1.8381486417843023
oof,Random Forest,gw,16,1076,2.2342007434944238,2.1758376044679264,0.05836313902649749,1.801630529582348
oof,Random Forest,gw,17,1067,2.262417994376757,2.1324252287764964,0.12999276560026113,1.9115989638960436
oof,Random Forest,gw,18,1084,2.157749077490775,2.102964469812786,0.05478460767798877,1.7030173187883195
oof,Random Forest,gw,19,1088,2.2380514705882355,2.1263984939210925,0.11165297666714274,1.876961323371325
oof,Random Forest,gw,20,1091,2.1934005499541707,2.1609718559409163,0.03242869401325359,1.7897368955282529
oof,Random Forest,gw,21,1084,2.209409594095941,2.162468298487299,0.046941295608641895,1.7741063422401375
oof,Random Forest,gw,22,1062,2.238229755178908,2.193236542376808,0.04499321280209946,1.920002640230184
